rope,code,age,polymer,diameter,use,mass,density,volume,fragment.volume,fragments
A,NR12,0,Polysteel,12,none,0.00077,0.95,0.000810526,3.77516E-07,2147.000928
A,NR12,0,Polysteel,12,none,0.00093,0.95,0.000978947,3.77516E-07,2593.130991
A,NR12,0,Polysteel,12,none,0.00081,0.95,0.000852632,3.77516E-07,2258.533443
A,NR12,0,Polysteel,12,none,0.00079,0.95,0.000831579,3.77516E-07,2202.767186
A,NR12,0,Polysteel,12,none,0.00084,0.95,0.000884211,3.77516E-07,2342.18283
A,NR16,0,Polysteel,16,none,0.0004,0.95,0.000421053,3.16398E-07,1330.767734
A,NR16,0,Polysteel,16,none,0.00034,0.95,0.000357895,3.16398E-07,1131.152574
A,NR16,0,Polysteel,16,none,0.00072,0.95,0.000757895,3.16398E-07,2395.381921
A,NR16,0,Polysteel,16,none,0.00049,0.95,0.000515789,3.16398E-07,1630.190474
A,NR16,0,Polysteel,16,none,0.00059,0.95,0.000621053,3.16398E-07,1962.882408
B,W16,0,Polypropylene,16,none,0.0003,0.91,0.00032967,8.20234E-07,401.9222674
B,W16,0,Polypropylene,16,none,0.0006,0.91,0.000659341,8.20234E-07,803.8445348
B,W16,0,Polypropylene,16,none,0.0004,0.91,0.00043956,8.20234E-07,535.8963566
B,W16,0,Polypropylene,16,none,0.0009,0.91,0.000989011,8.20234E-07,1205.766802
B,W16,0,Polypropylene,16,none,0.0005,0.91,0.000549451,8.20234E-07,669.8704457
C,2G12,1,Polypropylene,12,buoy,0.0003,0.91,0.00032967,5.6758E-07,580.8348095
C,2G12,1,Polypropylene,12,buoy,0.001,0.91,0.001098901,5.6758E-07,1936.116032
C,2G12,1,Polypropylene,12,buoy,0.0008,0.91,0.000879121,5.6758E-07,1548.892825
C,2G12,1,Polypropylene,12,buoy,0.0003,0.91,0.00032967,5.6758E-07,580.8348095
C,2G12,1,Polypropylene,12,buoy,0.0005,0.91,0.000549451,5.6758E-07,968.0580158
D,R16,2,Polypropylene,16,hauling,0.00957,0.91,0.010516484,3.7652E-07,27930.72811
D,R16,2,Polypropylene,16,hauling,0.01201,0.91,0.013197802,3.7652E-07,35052.04228
D,R16,2,Polypropylene,16,hauling,0.0135,0.91,0.014835165,3.7652E-07,39400.71364
D,R16,2,Polypropylene,16,hauling,0.01481,0.91,0.016274725,3.7652E-07,43224.04215
D,R16,2,Polypropylene,16,hauling,0.01176,0.91,0.012923077,3.7652E-07,34322.39944
E,R12,10,Polypropylene,12,mooring,0.06346,0.91,0.069736264,1.5063E-06,46296.44739
E,R12,10,Polypropylene,12,mooring,0.057678,0.91,0.063382418,1.5063E-06,42078.26178
E,R12,10,Polypropylene,12,mooring,0.041593,0.91,0.045706593,1.5063E-06,30343.65169
E,R12,10,Polypropylene,12,mooring,0.051152,0.91,0.056210989,1.5063E-06,37317.3003
E,R12,10,Polypropylene,12,mooring,0.04909,0.91,0.053945055,1.5063E-06,35812.99405